VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP2D,King,Renton,WA,98058,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,11,182185930,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025702
JTDKN3DP5E,Thurston,Rochester,WA,98579,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,35,241585060,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012730
5YJYGDEE8L,King,Bellevue,WA,98005,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,49900,41,111808973,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601
1N4AZ0CP4E,King,Kent,WA,98042,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,47,144436393,POINT (-122.1145138 47.3581107),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707
KM8KNDAF7P,King,Bellevue,WA,98008,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,251411681,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403
7SAYGDEE7N,Kitsap,Bainbridge Island,WA,98110,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291,49900,23,192479227,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
1FADP5EU6H,King,Kirkland,WA,98034,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,45,118251654,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905
5YJYGDEF6M,King,Seattle,WA,98122,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291,49900,37,139682133,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
JA4T5VA90P,King,Bothell,WA,98011,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,1,221435728,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022001
7SAYGDEE9P,Island,Oak Harbor,WA,98277,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291,49900,10,244741479,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029970402
KMHC75LH5J,Island,Oak Harbor,WA,98277,2018,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,124,0,10,267578027,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029970601
7SAYGDEE9N,Cowlitz,Kelso,WA,98626,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291,49900,20,221432172,POINT (-122.8902296 46.1351011),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015001700
7SAYGDEEXR,King,Kenmore,WA,98028,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291,49900,46,262745619,POINT (-122.2478069 47.75817),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
