VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AEXG,King,Renton,WA,98058,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,11,210641315,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804
5YJ3E1EA3L,King,Seattle,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,46,124517347,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
1G1RC6S5XH,Kitsap,Port Orchard,WA,98367,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,26,7832933,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902
1FMCU0EZXN,Yakima,Moxee,WA,98936,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,15,197264322,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
5YJ3E1EB8J,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,44,475227392,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008
1N4AZ0CP8F,Snohomish,Monroe,WA,98272,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,39,187075577,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052206
WP1AE2A21J,Snohomish,Everett,WA,98208,2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,44,122759276,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041606
1N4BZ1BV4N,Snohomish,Everett,WA,98208,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,150,31500,21,259974277,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EA2L,Kitsap,Port Orchard,WA,98366,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,26,6249078,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600
1N4AZ1CP6J,Kitsap,Bremerton,WA,98312,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,35,474183811,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
5YJ3E1EA3J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,46,283964453,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5YJ3E1EB7K,Stevens,Colville,WA,99114,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,7,278862286,POINT (-117.885418 48.541035),AVISTA CORP,53065950300
5YJ3E1EC3L,Thurston,Yelm,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,2,254928768,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012531
5YJ3E1EB6K,King,Seattle,WA,98108,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,11,232690629,POINT (-122.3173531 47.5484673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402
5YJ3E1EB2L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,12,128897450,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007960700
YV4BR0CM2M,Kitsap,Bainbridge Island,WA,98110,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,138397801,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
5YJ3E1EA4K,Kitsap,Silverdale,WA,98383,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,23,148566358,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201
5YJ3E1EB1J,King,Auburn,WA,98001,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,47,476632054,POINT (-122.2651204 47.3164638),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902
1G1FY6S08K,Thurston,Tumwater,WA,98512,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,36620,22,251184825,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
1FTVW1EV4P,Thurston,Rochester,WA,98579,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,237709454,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012710
WMZYU7C41J,Kitsap,Poulsbo,WA,98370,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,23,110855916,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
KNDCR3LF8P,Snohomish,Monroe,WA,98272,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,239,39900,39,254596093,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
5YJ3E1EA3J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,1,136972083,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB7J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,22,474261763,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000
5YJ3E1EBXP,Yakima,Selah,WA,98942,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,15,251783213,POINT (-120.5517376 46.6678647),PACIFICORP,53077003200
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,152408714,POINT (-120.530331 46.59534),PACIFICORP,53077000600
5YJ3E1EA6K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,35,478146763,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902
5YJ3E1EA9L,Thurston,Lacey,WA,98503,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,22,208467983,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421
5YJ3E1EA1R,Yakima,Moxee,WA,98936,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,15,267544882,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
YV4BR00L4N,Snohomish,Monroe,WA,98272,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,39,264543786,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052208
1N4BZ1CP7K,Snohomish,Bothell,WA,98021,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,1,115103796,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051917
5YJ3E1EB9K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,14,156862744,POINT (-120.611068 46.596645),PACIFICORP,53077002804
JN1AZ0CP5C,Stevens,Colville,WA,99114,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,7,153331706,POINT (-117.885418 48.541035),AVISTA CORP,53065950200
5YJ3E1EA9J,Thurston,Olympia,WA,98513,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,2,241589512,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012320
5YJ3E1EB1J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,21,474833887,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042001
1N4AZ0CP9D,King,Seattle,WA,98133,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,46,103775878,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000300

KNDC4DLC3P,Kitsap,Poulsbo,WA,98370,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,229964059,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201

5YJ3E1EB0J,King,Redmond,WA,98053,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,45,298571640,POINT (-122.030684 47.669552),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333
1G1FZ6S04P,Yakima,Yakima,WA,98908,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238,20400,14,251492111,POINT (-120.611068 46.596645),PACIFICORP,53077002900
1N4AZ0CP7E,King,Seattle,WA,98112,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,37,349644585,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007700
5YJ3E1EA5L,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,44,102664061,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052603
5YJ3E1EA9L,Snohomish,Marysville,WA,98270,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,38,4759450,POINT (-122.1515174 48.0650751),PUGET SOUND ENERGY INC,53061052903
1N4AZ1CP8K,Kitsap,Kingston,WA,98346,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,23,7849733,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090101
5YJ3E1EB6M,Yakima,Naches,WA,98937,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,14,176230267,POINT (-120.7451856 46.7416386),PACIFICORP,53077003004
5YJ3E1EAXJ,Island,Oak Harbor,WA,98277,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,10,338472676,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029971000
5YJ3E1EB4J,Snohomish,Lake Stevens,WA,98258,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,44,298381688,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052606
5YJ3E1EAXJ,Snohomish,Sultan,WA,98294,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,39,253072417,POINT (-121.7937672 47.8691441),PUGET SOUND ENERGY INC,53061053802
1N4AZ1CP3L,King,Seattle,WA,98117,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,36,183157033,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900


1N4AZ1CP6J,Kitsap,Kingston,WA,98346,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,23,288178201,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
1N4AZ1CP7K,King,Seattle,WA,98106,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,34,303237595,POINT (-122.3570816 47.5337116),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010800
5YJ3E1EB4J,Snohomish,Lynnwood,WA,98087,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,21,341100714,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041816
5YJ3E1EB0J,Yakima,Yakima,WA,98903,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,14,475363815,POINT (-120.5807155 46.5654909),PACIFICORP,53077002801
1G1RB6S57J,Kitsap,Port Orchard,WA,98366,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,26,478393009,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092200
5YJ3E1EB5L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,39,107158544,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052204
5YJ3E1EA3L,Snohomish,Everett,WA,98203,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,38,132611083,POINT (-122.225874 47.945309),PUGET SOUND ENERGY INC,53061041400
5YJ3E1EA9K,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,44,297349727,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052006
1N4BZ0CP8H,King,Shoreline,WA,98133,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,32,122465010,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700
5YJ3E1EA2J,Thurston,Olympia,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,2,258777004,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011627
JTMEB3FV6M,Kitsap,Bremerton,WA,98312,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,35,139701789,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092000
1N4AZ0CP1E,King,Seattle,WA,98116,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,34,243958102,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010502
5YJ3E1EB6K,Yakima,Wapato,WA,98951,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,15,225755869,POINT (-120.448617 46.4426932),PACIFICORP,53077001702
WMWXP3C0XM,King,Seattle,WA,98126,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,34,131496907,POINT (-122.3752214 47.5465949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
5YJ3E1EB1J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,21,476019519,POINT (-122.338942 47.821454),PUGET SOUND ENERGY INC,53061042003
1N4BZ0CP3H,Kitsap,Bremerton,WA,98310,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,23,227492128,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080200



KNDJX3AE6G,King,Seattle,WA,98136,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,34,202789303,POINT (-122.3894209 47.5407358),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
5YJ3E1EA3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,21,219724739,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
1N4BZ1CP8K,Kitsap,Kingston,WA,98346,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,23,332332080,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
5YJ3E1EA9J,Snohomish,Monroe,WA,98272,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,39,281458943,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
5YJ3E1EB0J,Thurston,Olympia,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,22,266755289,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010300
1N4AZ0CPXE,King,Redmond,WA,98052,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,48,229296595,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032313
1N4BZ1CPXK,Thurston,Tumwater,WA,98512,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,22,114330401,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
5YJ3E1EB4L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,21,109687035,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051927
WP1AE2A26H,Kitsap,Seabeck,WA,98380,2017,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,3966259,POINT (-122.8728334 47.5798304),PUGET SOUND ENERGY INC,53035092000
1N4BZ0CP8H,Snohomish,Bothell,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,1,321251150,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
5YJ3E1EB2J,King,North Bend,WA,98045,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,5,475258304,POINT (-121.7705205 47.4816922),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032705
1N4AZ0CP5F,King,Redmond,WA,98052,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,48,191836571,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902


1N4AZ1CP6K,King,Bellevue,WA,98007,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,48,326901697,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403
1G1RB6S51J,Kitsap,Bremerton,WA,98310,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,475945368,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080300
3FA6P0PU6E,Yakima,Union Gap,WA,98903,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,15,172931510,POINT (-120.5807155 46.5654909),PACIFICORP,53077001400
5YJ3E1EB3J,King,Seattle,WA,98125,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,46,323647628,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100
5YJ3E1EB9K,Kitsap,Port Orchard,WA,98367,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,26,124779588,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092802
JTDKAMFP2N,Thurston,Olympia,WA,98503,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,2,259544729,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011627
1N4BZ1CP5K,King,Seattle,WA,98101,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,43,262072765,POINT (-122.3340795 47.6099315),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008300
5YJ3E1EB4M,King,Bellevue,WA,98005,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,41,150299985,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023500
5YJ3E1EB8K,Kitsap,Bremerton,WA,98312,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,35,177558020,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080600
5YJ3E1EB6L,King,Bothell,WA,98011,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,1,102484021,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
1G1FY6S07L,Yakima,Yakima,WA,98908,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,36620,14,109652714,POINT (-120.611068 46.596645),PACIFICORP,53077000401
1G1RE6E43E,Yakima,Yakima,WA,98908,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,202811836,POINT (-120.611068 46.596645),PACIFICORP,53077000903
5YJ3E1EA4P,Clark,Vancouver,WA,98684,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,17,261344625,POINT (-122.5241377 45.6278995),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041317
5YJ3E1EB5N,King,Renton,WA,98059,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,11,187486155,POINT (-122.134502 47.492627),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025101
5YJ3E1EBXM,King,Bellevue,WA,98005,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,41,166370557,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023500
5YJ3E1EB3L,King,Sammamish,WA,98074,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,45,4852046,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225

1N4AZ1CP7J,Island,Oak Harbor,WA,98277,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,10,102140818,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029971000



1FTVW1EV2P,Thurston,Lacey,WA,98516,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,244844295,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012221
1N4AZ1CP8J,King,Burien,WA,98166,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,34,148959982,POINT (-122.3472273 47.4568458),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500
1N4BZ0CPXH,Snohomish,Mill Creek,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,44,179819510,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061041704

1N4BZ0CP1G,Snohomish,Mukilteo,WA,98275,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,21,238308458,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061041304
5YJ3E1EC4L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,23,7948713,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091205
3FMTK2SU3N,Thurston,Olympia,WA,98501,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,120,46770,22,203713940,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011200

1N4AZ0CP4D,Yakima,Toppenish,WA,98948,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,15,133798493,POINT (-120.322229 46.376127),PACIFICORP,53077940006
SADHC2S16L,Kitsap,Silverdale,WA,98383,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,23,256253070,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091302
1N4AZ0CP0F,Snohomish,Everett,WA,98203,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,38,178629531,POINT (-122.225874 47.945309),PUGET SOUND ENERGY INC,53061041100

5YJ3E1EB8N,King,Issaquah,WA,98029,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,5,186101359,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
5YJ3E1EB4L,King,Bellevue,WA,98008,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,48,220725753,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000

KM8K33AGXK,Thurston,Lacey,WA,98503,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,37400,22,218004279,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
